drug pair    OSCAR    ONCNonInteruptive
http://bio2rdf.org/drugbank:DB00335-http://bio2rdf.org/drugbank:DB00861    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00465-http://bio2rdf.org/drugbank:DB00521    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00814-http://bio2rdf.org/drugbank:DB01580    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00814-http://bio2rdf.org/drugbank:DB00335    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01009-http://bio2rdf.org/drugbank:DB00436    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00712-http://bio2rdf.org/drugbank:DB01021    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00586-http://bio2rdf.org/drugbank:DB00436    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00500-http://bio2rdf.org/drugbank:DB00866    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB06724-http://bio2rdf.org/drugbank:DB00960    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00187-http://bio2rdf.org/drugbank:DB00861    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00814-http://bio2rdf.org/drugbank:DB00187    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00461-http://bio2rdf.org/drugbank:DB00195    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01050-http://bio2rdf.org/drugbank:DB00373    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01115-http://bio2rdf.org/drugbank:DB00489    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00500-http://bio2rdf.org/drugbank:DB00999    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01009-http://bio2rdf.org/drugbank:DB00489    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00533-http://bio2rdf.org/drugbank:DB00999    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00814-http://bio2rdf.org/drugbank:DB01197    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00717-http://bio2rdf.org/drugbank:DB00588    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01297-http://bio2rdf.org/drugbank:DB00945    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00328-http://bio2rdf.org/drugbank:DB00335    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00328-http://bio2rdf.org/drugbank:DB00232    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB06724-http://bio2rdf.org/drugbank:DB00451    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00500-http://bio2rdf.org/drugbank:DB00612    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00712-http://bio2rdf.org/drugbank:DB00571    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00451-http://bio2rdf.org/drugbank:DB00264    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00741-http://bio2rdf.org/drugbank:DB00682    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01009-http://bio2rdf.org/drugbank:DB00999    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00533-http://bio2rdf.org/drugbank:DB00489    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00717-http://bio2rdf.org/drugbank:DB00741    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00338-http://bio2rdf.org/drugbank:DB00404    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB04743-http://bio2rdf.org/drugbank:DB08807    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00991-http://bio2rdf.org/drugbank:DB00960    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00939-http://bio2rdf.org/drugbank:DB08807    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00939-http://bio2rdf.org/drugbank:DB08808    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00461-http://bio2rdf.org/drugbank:DB00866    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB04743-http://bio2rdf.org/drugbank:DB08808    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB06724-http://bio2rdf.org/drugbank:DB00521    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00586-http://bio2rdf.org/drugbank:DB00264    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB04743-http://bio2rdf.org/drugbank:DB00880    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00991-http://bio2rdf.org/drugbank:DB00187    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01050-http://bio2rdf.org/drugbank:DB00571    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00580-http://bio2rdf.org/drugbank:DB04861    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00788-http://bio2rdf.org/drugbank:DB00335    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00580-http://bio2rdf.org/drugbank:DB01136    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00258-http://bio2rdf.org/drugbank:DB00264    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00533-http://bio2rdf.org/drugbank:DB08808    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00461-http://bio2rdf.org/drugbank:DB00335    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01580-http://bio2rdf.org/drugbank:DB00945    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00991-http://bio2rdf.org/drugbank:DB01197    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00258-http://bio2rdf.org/drugbank:DB08808    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00939-http://bio2rdf.org/drugbank:DB00195    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB04743-http://bio2rdf.org/drugbank:DB01136    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00258-http://bio2rdf.org/drugbank:DB08807    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00573-http://bio2rdf.org/drugbank:DB00960    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00712-http://bio2rdf.org/drugbank:DB00612    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01009-http://bio2rdf.org/drugbank:DB00373    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01234-http://bio2rdf.org/drugbank:DB00682    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00749-http://bio2rdf.org/drugbank:DB00612    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00814-http://bio2rdf.org/drugbank:DB00489    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB04743-http://bio2rdf.org/drugbank:DB04861    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00571-http://bio2rdf.org/drugbank:DB01115    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00788-http://bio2rdf.org/drugbank:DB08808    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB06725-http://bio2rdf.org/drugbank:DB00612    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00788-http://bio2rdf.org/drugbank:DB01197    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00258-http://bio2rdf.org/drugbank:DB01193    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00482-http://bio2rdf.org/drugbank:DB00521    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00788-http://bio2rdf.org/drugbank:DB01193    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00461-http://bio2rdf.org/drugbank:DB01193    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00573-http://bio2rdf.org/drugbank:DB00606    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00461-http://bio2rdf.org/drugbank:DB01197    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01050-http://bio2rdf.org/drugbank:DB01021    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00788-http://bio2rdf.org/drugbank:DB00584    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB04743-http://bio2rdf.org/drugbank:DB00606    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00500-http://bio2rdf.org/drugbank:DB00264    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00482-http://bio2rdf.org/drugbank:DB00880    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00586-http://bio2rdf.org/drugbank:DB00521    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00227-http://bio2rdf.org/drugbank:DB00451    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01009-http://bio2rdf.org/drugbank:DB01297    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01009-http://bio2rdf.org/drugbank:DB01359    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00788-http://bio2rdf.org/drugbank:DB01580    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01009-http://bio2rdf.org/drugbank:DB01197    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00788-http://bio2rdf.org/drugbank:DB00232    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01009-http://bio2rdf.org/drugbank:DB01193    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB04743-http://bio2rdf.org/drugbank:DB00195    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00264-http://bio2rdf.org/drugbank:DB01399    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB06725-http://bio2rdf.org/drugbank:DB04861    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00258-http://bio2rdf.org/drugbank:DB01297    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01359-http://bio2rdf.org/drugbank:DB00945    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00195-http://bio2rdf.org/drugbank:DB01115    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00465-http://bio2rdf.org/drugbank:DB00335    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00960-http://bio2rdf.org/drugbank:DB01399    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB06724-http://bio2rdf.org/drugbank:DB00187    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00749-http://bio2rdf.org/drugbank:DB00880    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00335-http://bio2rdf.org/drugbank:DB00945    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00451-http://bio2rdf.org/drugbank:DB08807    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00991-http://bio2rdf.org/drugbank:DB00489    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00612-http://bio2rdf.org/drugbank:DB01115    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00749-http://bio2rdf.org/drugbank:DB00960    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00451-http://bio2rdf.org/drugbank:DB08808    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00586-http://bio2rdf.org/drugbank:DB00960    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB06725-http://bio2rdf.org/drugbank:DB01324    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00533-http://bio2rdf.org/drugbank:DB00866    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00328-http://bio2rdf.org/drugbank:DB00489    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00580-http://bio2rdf.org/drugbank:DB08807    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00461-http://bio2rdf.org/drugbank:DB00880    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00580-http://bio2rdf.org/drugbank:DB08808    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00195-http://bio2rdf.org/drugbank:DB00861    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01009-http://bio2rdf.org/drugbank:DB00774    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB06724-http://bio2rdf.org/drugbank:DB01359    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00814-http://bio2rdf.org/drugbank:DB00960    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00533-http://bio2rdf.org/drugbank:DB00584    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00939-http://bio2rdf.org/drugbank:DB01324    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00612-http://bio2rdf.org/drugbank:DB00861    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00605-http://bio2rdf.org/drugbank:DB00187    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01050-http://bio2rdf.org/drugbank:DB01324    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00580-http://bio2rdf.org/drugbank:DB00195    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00823-http://bio2rdf.org/drugbank:DB00860    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00294-http://bio2rdf.org/drugbank:DB00860    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00712-http://bio2rdf.org/drugbank:DB00866    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00580-http://bio2rdf.org/drugbank:DB00598    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00712-http://bio2rdf.org/drugbank:DB01193    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB06725-http://bio2rdf.org/drugbank:DB00436    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00991-http://bio2rdf.org/drugbank:DB01136    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00554-http://bio2rdf.org/drugbank:DB01359    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00605-http://bio2rdf.org/drugbank:DB00774    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00373-http://bio2rdf.org/drugbank:DB00451    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00554-http://bio2rdf.org/drugbank:DB00335    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00367-http://bio2rdf.org/drugbank:DB00588    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00482-http://bio2rdf.org/drugbank:DB00612    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00533-http://bio2rdf.org/drugbank:DB01021    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00712-http://bio2rdf.org/drugbank:DB01203    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00580-http://bio2rdf.org/drugbank:DB00880    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01297-http://bio2rdf.org/drugbank:DB01399    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00187-http://bio2rdf.org/drugbank:DB00451    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01009-http://bio2rdf.org/drugbank:DB00606    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB06803-http://bio2rdf.org/drugbank:DB01197    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00712-http://bio2rdf.org/drugbank:DB00436    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00712-http://bio2rdf.org/drugbank:DB00187    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00461-http://bio2rdf.org/drugbank:DB00489    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00335-http://bio2rdf.org/drugbank:DB00401    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00482-http://bio2rdf.org/drugbank:DB01021    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00258-http://bio2rdf.org/drugbank:DB00489    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00258-http://bio2rdf.org/drugbank:DB00335    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00573-http://bio2rdf.org/drugbank:DB00999    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00991-http://bio2rdf.org/drugbank:DB01193    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB06725-http://bio2rdf.org/drugbank:DB00335    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00533-http://bio2rdf.org/drugbank:DB00232    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01050-http://bio2rdf.org/drugbank:DB00436    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00749-http://bio2rdf.org/drugbank:DB01136    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00586-http://bio2rdf.org/drugbank:DB00612    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00814-http://bio2rdf.org/drugbank:DB00866    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB06725-http://bio2rdf.org/drugbank:DB01136    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00605-http://bio2rdf.org/drugbank:DB00264    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00554-http://bio2rdf.org/drugbank:DB00571    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00605-http://bio2rdf.org/drugbank:DB00598    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00461-http://bio2rdf.org/drugbank:DB00373    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00482-http://bio2rdf.org/drugbank:DB00232    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00554-http://bio2rdf.org/drugbank:DB01136    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00554-http://bio2rdf.org/drugbank:DB00774    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01580-http://bio2rdf.org/drugbank:DB00861    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00580-http://bio2rdf.org/drugbank:DB00571    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00598-http://bio2rdf.org/drugbank:DB00945    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00461-http://bio2rdf.org/drugbank:DB00571    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB04743-http://bio2rdf.org/drugbank:DB00999    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00788-http://bio2rdf.org/drugbank:DB00187    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01050-http://bio2rdf.org/drugbank:DB00489    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB04743-http://bio2rdf.org/drugbank:DB00774    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00580-http://bio2rdf.org/drugbank:DB00373    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00328-http://bio2rdf.org/drugbank:DB00584    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00335-http://bio2rdf.org/drugbank:DB00622    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00814-http://bio2rdf.org/drugbank:DB00606    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00605-http://bio2rdf.org/drugbank:DB00521    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00571-http://bio2rdf.org/drugbank:DB01399    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00586-http://bio2rdf.org/drugbank:DB00598    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01050-http://bio2rdf.org/drugbank:DB00960    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00521-http://bio2rdf.org/drugbank:DB01115    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00939-http://bio2rdf.org/drugbank:DB00489    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00500-http://bio2rdf.org/drugbank:DB00584    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00788-http://bio2rdf.org/drugbank:DB04861    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB06725-http://bio2rdf.org/drugbank:DB00999    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00939-http://bio2rdf.org/drugbank:DB00606    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00939-http://bio2rdf.org/drugbank:DB01580    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00258-http://bio2rdf.org/drugbank:DB00195    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00500-http://bio2rdf.org/drugbank:DB01197    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00461-http://bio2rdf.org/drugbank:DB00612    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB04743-http://bio2rdf.org/drugbank:DB00521    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00500-http://bio2rdf.org/drugbank:DB01193    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00500-http://bio2rdf.org/drugbank:DB01297    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB04743-http://bio2rdf.org/drugbank:DB00489    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00500-http://bio2rdf.org/drugbank:DB01359    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00335-http://bio2rdf.org/drugbank:DB01399    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00533-http://bio2rdf.org/drugbank:DB04861    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00304-http://bio2rdf.org/drugbank:DB00860    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00814-http://bio2rdf.org/drugbank:DB01136    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00712-http://bio2rdf.org/drugbank:DB01580    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00749-http://bio2rdf.org/drugbank:DB00436    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00294-http://bio2rdf.org/drugbank:DB00588    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00991-http://bio2rdf.org/drugbank:DB00606    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB06725-http://bio2rdf.org/drugbank:DB00571    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00328-http://bio2rdf.org/drugbank:DB00195    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01193-http://bio2rdf.org/drugbank:DB00451    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB06724-http://bio2rdf.org/drugbank:DB01580    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01050-http://bio2rdf.org/drugbank:DB01193    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00465-http://bio2rdf.org/drugbank:DB00606    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01050-http://bio2rdf.org/drugbank:DB01197    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00580-http://bio2rdf.org/drugbank:DB01359    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00533-http://bio2rdf.org/drugbank:DB00195    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00620-http://bio2rdf.org/drugbank:DB00682    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00533-http://bio2rdf.org/drugbank:DB00774    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00500-http://bio2rdf.org/drugbank:DB00195    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00939-http://bio2rdf.org/drugbank:DB00774    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00328-http://bio2rdf.org/drugbank:DB00436    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01009-http://bio2rdf.org/drugbank:DB00521    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00788-http://bio2rdf.org/drugbank:DB00489    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00749-http://bio2rdf.org/drugbank:DB00335    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00500-http://bio2rdf.org/drugbank:DB01580    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00554-http://bio2rdf.org/drugbank:DB00598    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00612-http://bio2rdf.org/drugbank:DB00945    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB04743-http://bio2rdf.org/drugbank:DB01193    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00554-http://bio2rdf.org/drugbank:DB00373    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01115-http://bio2rdf.org/drugbank:DB01359    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB04743-http://bio2rdf.org/drugbank:DB01197    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00533-http://bio2rdf.org/drugbank:DB08807    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00573-http://bio2rdf.org/drugbank:DB00195    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00991-http://bio2rdf.org/drugbank:DB00774    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB06725-http://bio2rdf.org/drugbank:DB00774    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00554-http://bio2rdf.org/drugbank:DB04861    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00443-http://bio2rdf.org/drugbank:DB00682    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01359-http://bio2rdf.org/drugbank:DB00861    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00195-http://bio2rdf.org/drugbank:DB00945    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00573-http://bio2rdf.org/drugbank:DB04861    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00258-http://bio2rdf.org/drugbank:DB00373    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00991-http://bio2rdf.org/drugbank:DB00880    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00580-http://bio2rdf.org/drugbank:DB00489    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00588-http://bio2rdf.org/drugbank:DB00682    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00580-http://bio2rdf.org/drugbank:DB00521    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01203-http://bio2rdf.org/drugbank:DB00945    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB06725-http://bio2rdf.org/drugbank:DB00195    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00586-http://bio2rdf.org/drugbank:DB00187    [(None, None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00788-http://bio2rdf.org/drugbank:DB01136    [(None, None)]    [(None, None)]
